GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
accounts,com.accounts.controller,AccountsController,73,6,4,0,22,1,6,1,4,1
accounts,com.accounts.mapper,AccountsMapper,3,28,0,0,1,8,1,2,1,2
accounts,com.accounts.mapper,CustomerMapper,3,28,0,0,1,8,1,2,1,2
accounts,com.accounts.entity,Customer,10,46,0,0,0,5,1,10,1,10
accounts,com.accounts.entity,BaseEntity,10,31,0,0,0,6,1,9,1,9
accounts,com.accounts.entity,Accounts,10,46,0,0,0,5,1,10,1,10
accounts,com.accounts.dto,AccountsDto,131,24,30,0,0,4,19,7,4,7
accounts,com.accounts.dto,ResponseDto,106,15,22,0,0,3,17,3,6,3
accounts,com.accounts.dto,CustomerDto,164,31,38,0,0,5,23,9,4,9
accounts,com.accounts.dto,ErrorResponseDto,180,27,38,0,0,5,27,5,8,5
accounts,com.accounts.audit,AuditAwareImpl,0,6,0,0,0,2,0,2,0,2
accounts,com.accounts.utils,ValidatorUtil,3,14,0,0,1,7,1,2,1,2
accounts,com.accounts.exception,CustomerAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
accounts,com.accounts.exception,ResourceNotFoundException,0,19,0,0,0,2,0,1,0,1
accounts,com.accounts.exception,GlobalExceptionHandler,48,37,0,0,13,11,3,3,3,3
accounts,com.accounts,AccountsApplication,5,3,0,0,2,1,1,1,1,1
accounts,com.accounts.service.impl,AccountsServiceImpl,76,145,3,1,16,26,5,8,3,8
